TCP_ID,ESTC_ID
K000039.000,N71
K000122.000,N203
K000152.000,N260
K000180.000,N326
K000266.000,N460
K000268.000,N462
K000379.000,N628
K000415.000,N682
K000454.000,N727
K000532.000,N842
K000637.000,N1034
K000663.000,N1081
K000685.000,N1117
K000691.000,N1125
K000780.000,N1283
K000791.000,N1306
K000913.000,N1476
K000924.000,N1488
K000934.000,N1500
K000944.000,N1512
K000958.000,N1526
K001048.000,N1651
K001133.000,N1762
K001176.000,N1818
K001204.000,N1855
K001310.000,N2029
K001312.000,N2031
K001334.001,N2062
K001334.002,N2062
K001382.000,N2120
K001415.000,N2164
K001439.000,N2191
K001461.000,N2220
K001482.000,N2249
K001511.000,N2285
K001582.000,N2387
K001672.000,N2550
K001770.000,N2705
K001985.000,N3073
K002004.000,N3107
K002009.000,N3119
K002071.000,N3220
K002428.000,N3791
K002464.000,N3841
K002508.000,N3888
K002563.000,N3962
K002590.000,N3994
K002616.000,N4058
K002662.000,N4149
K002765.000,N4285
K002806.000,N4369
K002808.000,N4372
K002867.000,N4462
K002914.000,N4540
K002919.000,N4546
K002991.000,N4667
K003059.000,N4778
K003286.000,N5216
K003544.000,N5694
K003605.000,N5823
K003638.000,N5881
K003643.001,N5887
K003643.002,N5887
K003643.003,N5887
K003810.001,N6237
K003810.002,N6237
K003810.003,N6237
K003860.000,N6321
K004143.000,N6833
K004179.000,N6903
K004294.000,N7142
K004299.000,N7154
K004329.000,N7196
K004390.000,N7322
K004461.000,N7474
K004597.000,N7735
K004609.000,N7768
K004738.000,N8030
K004915.000,N8313
K004944.000,N8371
K005224.000,N8916
K005472.000,N9405
K005565.000,N9599
K005732.000,N9907
K005787.000,N10007
K005846.000,N10089
K005971.000,N10231
K006014.000,N10277
K006151.000,N10432
K006240.000,N10530
K006305.000,N10604
K006382.001,N10696
K006382.002,N10696
K006500.000,N10840
K006521.000,N10873
K006534.000,N10894
K006560.000,N10927
K006726.000,N11183
K006904.000,N11493
K007016.000,N11663
K007021.000,N11675
K007022.000,N11676
K007102.000,N11805
K007192.000,N11920
K007216.000,N11949
K007219.000,N11952
K007507.000,N12317
K007545.000,N12361
K007597.000,N12426
K007618.000,N12461
K007722.000,N12607
K007863.000,N12801
K007929.000,N12881
K007960.000,N12927
K007970.000,N12938
K007986.001,N12956
